video,label,dataset,p,n_frames,source
00124,0,celebdf,0.5945524,4,CelebDF
00125,0,celebdf,0.4415814,8,CelebDF
00126,0,celebdf,0.49361715,8,CelebDF
00127,0,celebdf,0.5535564,8,CelebDF
00128,0,celebdf,0.42655772,8,CelebDF
00129,0,celebdf,0.007984553,8,CelebDF
00130,0,celebdf,0.42274603,5,CelebDF
00131,0,celebdf,0.6207151,7,CelebDF
00132,0,celebdf,0.34957862,7,CelebDF
00133,0,celebdf,0.600724,8,CelebDF
00135,0,celebdf,0.73142064,5,CelebDF
00136,0,celebdf,0.00035426623,8,CelebDF
00137,0,celebdf,0.16789044,8,CelebDF
00138,0,celebdf,0.29141855,7,CelebDF
00139,0,celebdf,0.004207303,8,CelebDF
00140,0,celebdf,0.1303882,8,CelebDF
00141,0,celebdf,0.20833525,7,CelebDF
00142,0,celebdf,0.02980386,7,CelebDF
00143,0,celebdf,0.400529,6,CelebDF
00144,0,celebdf,0.3197963,8,CelebDF
00145,0,celebdf,0.27379787,8,CelebDF
00146,0,celebdf,0.08742228,8,CelebDF
00147,0,celebdf,0.00067150284,8,CelebDF
00148,0,celebdf,0.054599654,8,CelebDF
00149,0,celebdf,0.002822658,8,CelebDF
00150,0,celebdf,0.6833483,8,CelebDF
00151,0,celebdf,0.4221145,8,CelebDF
00152,0,celebdf,0.19432458,8,CelebDF
00153,0,celebdf,0.5698808,7,CelebDF
00154,0,celebdf,0.036461864,1,CelebDF
00155,0,celebdf,3.575379e-05,8,CelebDF
00156,0,celebdf,0.0027894108,8,CelebDF
00157,0,celebdf,0.10578108,7,CelebDF
00158,0,celebdf,0.01140828,8,CelebDF
00159,0,celebdf,0.7530045,8,CelebDF
00160,0,celebdf,0.6157804,7,CelebDF
00161,0,celebdf,0.0006917458,7,CelebDF
00162,0,celebdf,0.49387598,8,CelebDF
00163,0,celebdf,0.41865355,8,CelebDF
00165,0,celebdf,0.69943106,8,CelebDF
00166,0,celebdf,0.0058095767,8,CelebDF
00167,0,celebdf,0.07588927,7,CelebDF
00168,0,celebdf,0.80775255,8,CelebDF
00169,0,celebdf,0.38461667,8,CelebDF
00170,0,celebdf,0.6270139,3,CelebDF
00171,0,celebdf,0.0012088165,7,CelebDF
00172,0,celebdf,0.5361718,8,CelebDF
00173,0,celebdf,0.8514752,6,CelebDF
00174,0,celebdf,0.56504077,8,CelebDF
00175,0,celebdf,0.7221046,7,CelebDF
00176,0,celebdf,0.37201276,8,CelebDF
00177,0,celebdf,0.0049661417,5,CelebDF
00178,0,celebdf,0.5828638,8,CelebDF
00179,0,celebdf,0.0028662682,8,CelebDF
00180,0,celebdf,0.26859438,8,CelebDF
00181,0,celebdf,0.23634526,5,CelebDF
00182,0,celebdf,0.3791055,8,CelebDF
00183,0,celebdf,0.336478,1,CelebDF
00184,0,celebdf,0.009207855,8,CelebDF
00185,0,celebdf,0.42729744,7,CelebDF
00186,0,celebdf,0.00019187167,8,CelebDF
00187,0,celebdf,0.11856124,8,CelebDF
00188,0,celebdf,0.65658283,8,CelebDF
00189,0,celebdf,0.08899818,7,CelebDF
00190,0,celebdf,0.1677146,8,CelebDF
00191,0,celebdf,0.13416438,8,CelebDF
00192,0,celebdf,0.0018610255,8,CelebDF
00193,0,celebdf,0.08393715,8,CelebDF
00194,0,celebdf,0.00034820585,7,CelebDF
00195,0,celebdf,0.37139305,7,CelebDF
00196,0,celebdf,0.21534279,8,CelebDF
00197,0,celebdf,0.69281006,7,CelebDF
00198,0,celebdf,0.67270243,8,CelebDF
00199,0,celebdf,0.015969463,8,CelebDF
00200,0,celebdf,0.9997177,3,CelebDF
00202,0,celebdf,0.53723264,8,CelebDF
00203,0,celebdf,0.18098417,8,CelebDF
00204,0,celebdf,0.7217452,8,CelebDF
00205,0,celebdf,0.37118125,8,CelebDF
00206,0,celebdf,0.4677112,7,CelebDF
00207,0,celebdf,0.13580921,7,CelebDF
00208,0,celebdf,0.47169262,7,CelebDF
00209,0,celebdf,0.005555285,8,CelebDF
00211,0,celebdf,0.0008012071,7,CelebDF
00212,0,celebdf,0.17290872,8,CelebDF
00213,0,celebdf,0.29531437,8,CelebDF
00214,0,celebdf,0.41053304,8,CelebDF
00215,0,celebdf,0.34964848,8,CelebDF
00216,0,celebdf,0.4462018,8,CelebDF
00217,0,celebdf,0.17665379,8,CelebDF
00218,0,celebdf,0.3386618,8,CelebDF
00219,0,celebdf,0.44918525,8,CelebDF
00220,0,celebdf,0.13514353,8,CelebDF
00221,0,celebdf,0.0013300125,8,CelebDF
00222,0,celebdf,0.005039216,8,CelebDF
00223,0,celebdf,0.08245896,8,CelebDF
00224,0,celebdf,0.59495133,8,CelebDF
00225,0,celebdf,0.00037499008,8,CelebDF
00226,0,celebdf,0.23363219,6,CelebDF
00227,0,celebdf,0.3956259,8,CelebDF
00228,0,celebdf,0.0036638223,7,CelebDF
00229,0,celebdf,0.022867108,7,CelebDF
00230,0,celebdf,0.3747516,8,CelebDF
00231,0,celebdf,0.5186421,8,CelebDF
00232,0,celebdf,0.7691439,8,CelebDF
00233,0,celebdf,0.16349594,8,CelebDF
00234,0,celebdf,0.30814755,8,CelebDF
00235,0,celebdf,2.0420382e-05,8,CelebDF
00236,0,celebdf,0.82182,8,CelebDF
00237,0,celebdf,0.31518757,5,CelebDF
00238,0,celebdf,0.69343835,8,CelebDF
00239,0,celebdf,0.01765414,8,CelebDF
00240,0,celebdf,0.66613114,7,CelebDF
00242,0,celebdf,0.25287277,7,CelebDF
00243,0,celebdf,0.16122076,8,CelebDF
00244,0,celebdf,0.02359145,8,CelebDF
00245,0,celebdf,0.00023229304,8,CelebDF
00246,0,celebdf,0.6569678,7,CelebDF
00247,0,celebdf,0.7048851,7,CelebDF
00248,0,celebdf,0.47155812,8,CelebDF
00249,0,celebdf,0.19226933,7,CelebDF
00250,0,celebdf,0.007702792,6,CelebDF
00251,0,celebdf,0.032939367,8,CelebDF
00252,0,celebdf,0.000478531,8,CelebDF
00253,0,celebdf,0.000259622,8,CelebDF
00254,0,celebdf,0.6057068,4,CelebDF
00255,0,celebdf,0.023577208,8,CelebDF
00256,0,celebdf,0.021248495,8,CelebDF
00257,0,celebdf,0.11528981,8,CelebDF
00258,0,celebdf,0.04131418,7,CelebDF
00259,0,celebdf,0.79165524,8,CelebDF
00260,0,celebdf,0.009787833,7,CelebDF
00261,0,celebdf,0.30956694,8,CelebDF
00262,0,celebdf,0.5318646,8,CelebDF
00263,0,celebdf,0.6112935,8,CelebDF
00264,0,celebdf,0.24096198,6,CelebDF
00265,0,celebdf,0.12505914,8,CelebDF
00266,0,celebdf,0.005609317,5,CelebDF
00267,0,celebdf,0.32157487,6,CelebDF
00268,0,celebdf,0.009409959,8,CelebDF
00269,0,celebdf,0.014446823,7,CelebDF
00270,0,celebdf,0.0016101877,8,CelebDF
00271,0,celebdf,0.17052276,2,CelebDF
00272,0,celebdf,0.008943552,8,CelebDF
00273,0,celebdf,0.4580288,7,CelebDF
00274,0,celebdf,0.0015126627,8,CelebDF
00275,0,celebdf,0.8813858,2,CelebDF
00276,0,celebdf,0.038550537,8,CelebDF
00277,0,celebdf,0.038860243,7,CelebDF
00278,0,celebdf,0.0021734245,8,CelebDF
00279,0,celebdf,0.5918339,5,CelebDF
00280,0,celebdf,0.14219514,8,CelebDF
00281,0,celebdf,0.18701148,8,CelebDF
00282,0,celebdf,0.42518368,8,CelebDF
00283,0,celebdf,0.18124121,8,CelebDF
00284,0,celebdf,0.0021264642,5,CelebDF
00285,0,celebdf,0.49547395,8,CelebDF
00287,0,celebdf,0.49133885,8,CelebDF
00288,0,celebdf,0.3483001,6,CelebDF
00289,0,celebdf,0.02908491,8,CelebDF
00290,0,celebdf,0.32038078,3,CelebDF
00291,0,celebdf,0.65421677,7,CelebDF
00292,0,celebdf,0.25687698,8,CelebDF
00293,0,celebdf,0.30357155,8,CelebDF
00294,0,celebdf,0.2502184,8,CelebDF
00295,0,celebdf,0.07672794,8,CelebDF
00296,0,celebdf,0.4386529,7,CelebDF
00297,0,celebdf,0.14232953,7,CelebDF
00298,0,celebdf,0.22681737,8,CelebDF
00299,0,celebdf,0.6052039,8,CelebDF
id0_0000,0,celebdf,0.4730186,4,CelebDF
id0_0001,0,celebdf,0.071554415,7,CelebDF
id0_0002,0,celebdf,0.00010924439,8,CelebDF
id0_0003,0,celebdf,0.25235415,8,CelebDF
id0_0004,0,celebdf,0.36689806,7,CelebDF
id0_0005,0,celebdf,0.65907747,7,CelebDF
id0_0006,0,celebdf,0.0018653577,8,CelebDF
id0_0007,0,celebdf,0.5932593,6,CelebDF
id0_0008,0,celebdf,0.20414747,8,CelebDF
id0_0009,0,celebdf,0.03639394,5,CelebDF
id0_id16_0000,1,celebdf,0.75103146,3,CelebDF
id0_id16_0001,1,celebdf,0.03125905,7,CelebDF
id0_id16_0002,1,celebdf,0.55019593,8,CelebDF
id0_id16_0003,1,celebdf,0.22913992,7,CelebDF
id0_id16_0004,1,celebdf,0.5001984,8,CelebDF
id0_id16_0005,1,celebdf,0.80033046,7,CelebDF
id0_id16_0006,1,celebdf,0.24660888,8,CelebDF
id0_id16_0007,1,celebdf,0.7519763,7,CelebDF
id0_id16_0008,1,celebdf,0.70172364,8,CelebDF
id0_id16_0009,1,celebdf,0.2987061,5,CelebDF
id0_id17_0000,1,celebdf,0.9487265,3,CelebDF
id0_id17_0001,1,celebdf,0.05426619,7,CelebDF
id0_id17_0002,1,celebdf,0.8748938,8,CelebDF
id0_id17_0003,1,celebdf,0.79492533,8,CelebDF
id0_id17_0005,1,celebdf,0.8440959,7,CelebDF
id0_id17_0006,1,celebdf,0.47867504,8,CelebDF
id0_id17_0007,1,celebdf,0.8820776,7,CelebDF
id0_id17_0009,1,celebdf,0.7184276,5,CelebDF
id0_id1_0000,1,celebdf,0.9743038,3,CelebDF
id0_id1_0001,1,celebdf,0.02811719,7,CelebDF
id0_id1_0002,1,celebdf,0.63694793,8,CelebDF
id0_id1_0003,1,celebdf,0.316575,8,CelebDF
id0_id1_0005,1,celebdf,0.4243254,7,CelebDF
id0_id1_0006,1,celebdf,0.23922653,8,CelebDF
id0_id1_0007,1,celebdf,0.5103088,7,CelebDF
id0_id1_0009,1,celebdf,0.21698737,5,CelebDF
id0_id20_0000,1,celebdf,0.99951077,5,CelebDF
id0_id20_0001,1,celebdf,0.03009733,7,CelebDF
id0_id20_0002,1,celebdf,0.876708,8,CelebDF
id0_id20_0003,1,celebdf,0.8454804,8,CelebDF
id0_id20_0004,1,celebdf,0.8448709,7,CelebDF
id0_id20_0005,1,celebdf,0.8226434,7,CelebDF
id0_id20_0006,1,celebdf,0.12706566,8,CelebDF
id0_id20_0007,1,celebdf,0.85996825,7,CelebDF
id0_id20_0009,1,celebdf,0.49120182,5,CelebDF
id0_id21_0000,1,celebdf,0.8361166,6,CelebDF
id0_id21_0001,1,celebdf,0.03621954,7,CelebDF
id0_id21_0002,1,celebdf,0.84337676,8,CelebDF
id0_id21_0003,1,celebdf,0.44488963,8,CelebDF
id0_id21_0004,1,celebdf,0.78789,7,CelebDF
id0_id21_0005,1,celebdf,0.71819824,7,CelebDF
id0_id21_0006,1,celebdf,0.27213526,8,CelebDF
id0_id21_0007,1,celebdf,0.97738165,7,CelebDF
id0_id21_0009,1,celebdf,0.21634786,5,CelebDF
id0_id23_0000,1,celebdf,0.75811327,4,CelebDF
id0_id23_0001,1,celebdf,0.26105,7,CelebDF
id0_id23_0002,1,celebdf,0.87470585,8,CelebDF
id0_id23_0004,1,celebdf,0.8218106,8,CelebDF
id0_id23_0005,1,celebdf,0.8556918,7,CelebDF
id0_id23_0007,1,celebdf,0.97869855,7,CelebDF
id0_id23_0009,1,celebdf,0.22680938,5,CelebDF
id0_id26_0000,1,celebdf,0.84226686,3,CelebDF
id0_id26_0001,1,celebdf,0.16091554,7,CelebDF
id0_id26_0002,1,celebdf,0.8095075,8,CelebDF
id0_id26_0003,1,celebdf,0.4939125,8,CelebDF
id0_id26_0004,1,celebdf,0.71777314,8,CelebDF
id0_id26_0005,1,celebdf,0.8364219,7,CelebDF
id0_id26_0006,1,celebdf,0.010257636,8,CelebDF
id0_id26_0007,1,celebdf,0.8845052,7,CelebDF
id0_id26_0008,1,celebdf,0.8726318,8,CelebDF
id0_id26_0009,1,celebdf,0.16374514,5,CelebDF
id0_id28_0000,1,celebdf,0.85380095,6,CelebDF
id0_id28_0001,1,celebdf,0.0074439407,7,CelebDF
id0_id28_0002,1,celebdf,0.8723557,8,CelebDF
id0_id28_0003,1,celebdf,0.74738187,8,CelebDF
id0_id28_0004,1,celebdf,0.8567317,7,CelebDF
id0_id28_0005,1,celebdf,0.7868476,7,CelebDF
id0_id28_0006,1,celebdf,0.35288602,8,CelebDF
id0_id28_0007,1,celebdf,0.98510844,7,CelebDF
id0_id28_0008,1,celebdf,0.76079065,8,CelebDF
id0_id28_0009,1,celebdf,0.2795629,5,CelebDF
id0_id2_0000,1,celebdf,0.4503305,4,CelebDF
id0_id2_0001,1,celebdf,0.018862855,7,CelebDF
id0_id2_0002,1,celebdf,0.14123566,8,CelebDF
id0_id2_0003,1,celebdf,0.27476695,8,CelebDF
id0_id2_0004,1,celebdf,0.2960421,8,CelebDF
id0_id2_0005,1,celebdf,0.4187898,7,CelebDF
id0_id2_0006,1,celebdf,0.25481224,8,CelebDF
id0_id2_0007,1,celebdf,0.6711306,8,CelebDF
id0_id2_0008,1,celebdf,0.7678826,8,CelebDF
id0_id2_0009,1,celebdf,0.004573951,5,CelebDF
id0_id3_0000,1,celebdf,0.5575987,4,CelebDF
id0_id3_0001,1,celebdf,0.20789436,7,CelebDF
id0_id3_0002,1,celebdf,0.40888435,8,CelebDF
id0_id3_0003,1,celebdf,0.71902704,7,CelebDF
id0_id3_0004,1,celebdf,0.2281474,7,CelebDF
id0_id3_0005,1,celebdf,0.60620916,7,CelebDF
id0_id3_0006,1,celebdf,0.019378556,8,CelebDF
id0_id3_0007,1,celebdf,0.62872607,7,CelebDF
id0_id3_0008,1,celebdf,0.5414122,8,CelebDF
id0_id3_0009,1,celebdf,0.020811465,5,CelebDF
id0_id4_0000,1,celebdf,0.67594576,6,CelebDF
id0_id4_0001,1,celebdf,0.0031759273,7,CelebDF
id0_id4_0002,1,celebdf,0.8497782,8,CelebDF
id0_id4_0003,1,celebdf,0.7144971,8,CelebDF
id0_id4_0004,1,celebdf,0.5289573,7,CelebDF
id0_id4_0005,1,celebdf,0.75238746,7,CelebDF
id0_id4_0006,1,celebdf,0.07915918,8,CelebDF
id0_id4_0009,1,celebdf,0.20101455,5,CelebDF
id0_id6_0000,1,celebdf,0.76915056,3,CelebDF
id0_id6_0001,1,celebdf,0.05280794,7,CelebDF
id0_id6_0002,1,celebdf,0.7924545,8,CelebDF
id0_id6_0006,1,celebdf,0.610756,8,CelebDF
id0_id6_0007,1,celebdf,0.63262945,7,CelebDF
id0_id6_0009,1,celebdf,0.2649199,5,CelebDF
id0_id9_0000,1,celebdf,0.5840238,4,CelebDF
id0_id9_0001,1,celebdf,0.110335216,7,CelebDF
id0_id9_0002,1,celebdf,0.8745755,8,CelebDF
id0_id9_0003,1,celebdf,0.5992505,8,CelebDF
id0_id9_0005,1,celebdf,0.7251341,7,CelebDF
id0_id9_0006,1,celebdf,0.58286154,8,CelebDF
id0_id9_0007,1,celebdf,0.96191084,7,CelebDF
id0_id9_0008,1,celebdf,0.85727006,8,CelebDF
id0_id9_0009,1,celebdf,0.6112394,5,CelebDF
id10_0000,0,celebdf,0.013307556,8,CelebDF
id10_0001,0,celebdf,0.08715639,8,CelebDF
id10_0002,0,celebdf,0.33709246,8,CelebDF
id10_0003,0,celebdf,0.5153032,7,CelebDF
id10_0004,0,celebdf,0.0118243545,8,CelebDF
id10_0005,0,celebdf,0.5926525,8,CelebDF
id10_0006,0,celebdf,0.04605008,7,CelebDF
id10_0007,0,celebdf,0.567589,7,CelebDF
id10_0008,0,celebdf,0.6397096,8,CelebDF
id10_0009,0,celebdf,0.12974131,7,CelebDF
id10_id11_0001,1,celebdf,0.2043075,8,CelebDF
id10_id11_0002,1,celebdf,0.9998411,8,CelebDF
id10_id11_0003,1,celebdf,0.9996365,7,CelebDF
id10_id11_0004,1,celebdf,0.66452247,8,CelebDF
id10_id11_0005,1,celebdf,0.8220778,8,CelebDF
id10_id11_0006,1,celebdf,0.0770701,7,CelebDF
id10_id11_0007,1,celebdf,0.9879778,7,CelebDF
id10_id11_0008,1,celebdf,0.642222,8,CelebDF
id10_id12_0001,1,celebdf,0.46062803,8,CelebDF
id10_id12_0002,1,celebdf,0.9996459,8,CelebDF
id10_id12_0003,1,celebdf,0.99966186,7,CelebDF
id10_id12_0004,1,celebdf,0.7384927,8,CelebDF
id10_id12_0005,1,celebdf,0.86974,8,CelebDF
id10_id12_0006,1,celebdf,0.32750368,7,CelebDF
id10_id12_0007,1,celebdf,0.8624059,7,CelebDF
id10_id12_0008,1,celebdf,0.78580725,8,CelebDF
id10_id13_0001,1,celebdf,0.19605973,8,CelebDF
id10_id13_0002,1,celebdf,0.9458153,8,CelebDF
id10_id13_0003,1,celebdf,0.96725017,7,CelebDF
id10_id13_0004,1,celebdf,0.15454394,8,CelebDF
id10_id13_0005,1,celebdf,0.53229934,8,CelebDF
id10_id13_0006,1,celebdf,0.050080635,7,CelebDF
id10_id13_0007,1,celebdf,0.9991706,7,CelebDF
id10_id13_0008,1,celebdf,0.36784974,8,CelebDF
id10_id7_0001,1,celebdf,0.43498632,8,CelebDF
id10_id7_0002,1,celebdf,0.92079914,8,CelebDF
id10_id7_0003,1,celebdf,0.8227437,7,CelebDF
id10_id7_0004,1,celebdf,0.13532436,8,CelebDF
id10_id7_0005,1,celebdf,0.5980882,8,CelebDF
id10_id7_0006,1,celebdf,0.06280896,7,CelebDF
id10_id7_0007,1,celebdf,0.9896463,7,CelebDF
id10_id7_0008,1,celebdf,0.520237,8,CelebDF
id10_id7_0009,1,celebdf,0.04786844,7,CelebDF
id11_0000,0,celebdf,0.27892762,8,CelebDF
id11_0001,0,celebdf,0.00022971928,8,CelebDF
id11_0002,0,celebdf,0.057806775,8,CelebDF
id11_0003,0,celebdf,0.2890961,8,CelebDF
id11_0004,0,celebdf,0.57498896,7,CelebDF
id11_0005,0,celebdf,0.53177357,7,CelebDF
id11_0006,0,celebdf,0.15697303,8,CelebDF
id11_0007,0,celebdf,0.44981554,7,CelebDF
id11_0008,0,celebdf,0.66880697,8,CelebDF
id11_0009,0,celebdf,0.08725333,8,CelebDF
id11_0010,0,celebdf,0.35873827,8,CelebDF
id11_id7_0000,1,celebdf,0.3471629,7,CelebDF
id11_id7_0001,1,celebdf,0.2204532,8,CelebDF
id11_id7_0002,1,celebdf,0.12476397,8,CelebDF
id11_id7_0003,1,celebdf,0.20223436,8,CelebDF
id11_id7_0004,1,celebdf,0.28673124,8,CelebDF
id11_id7_0005,1,celebdf,0.5603594,7,CelebDF
id11_id7_0006,1,celebdf,0.14406708,8,CelebDF
id11_id7_0007,1,celebdf,0.84701127,7,CelebDF
id11_id7_0008,1,celebdf,0.4767686,8,CelebDF
id11_id7_0009,1,celebdf,0.34032902,8,CelebDF
id11_id7_0010,1,celebdf,0.7199137,8,CelebDF
id12_0000,0,celebdf,0.5272436,8,CelebDF
id12_0001,0,celebdf,0.42987147,8,CelebDF
id12_0002,0,celebdf,0.5357734,6,CelebDF
id12_0004,0,celebdf,0.47418386,8,CelebDF
id12_0005,0,celebdf,0.0074866945,8,CelebDF
id12_0006,0,celebdf,0.30612096,6,CelebDF
id12_id10_0001,1,celebdf,0.40601623,8,CelebDF
id12_id10_0002,1,celebdf,0.8048709,6,CelebDF
id12_id10_0004,1,celebdf,0.73624134,8,CelebDF
id12_id10_0005,1,celebdf,0.8030993,8,CelebDF
id12_id10_0006,1,celebdf,0.19252534,6,CelebDF
id12_id7_0000,1,celebdf,0.46787247,8,CelebDF
id12_id7_0001,1,celebdf,0.36025953,8,CelebDF
id12_id7_0002,1,celebdf,0.8546826,6,CelebDF
id12_id7_0004,1,celebdf,0.55951524,8,CelebDF
id12_id7_0005,1,celebdf,0.6397222,8,CelebDF
id12_id7_0006,1,celebdf,0.020494679,6,CelebDF
id13_0000,0,celebdf,0.23225953,8,CelebDF
id13_0001,0,celebdf,0.15526153,8,CelebDF
id13_0002,0,celebdf,0.0005050416,8,CelebDF
id13_0003,0,celebdf,0.0029437302,8,CelebDF
id13_0004,0,celebdf,0.0028351087,7,CelebDF
id13_0005,0,celebdf,0.0013254662,8,CelebDF
id13_0006,0,celebdf,0.0042759147,7,CelebDF
id13_0007,0,celebdf,0.15122578,8,CelebDF
id13_0008,0,celebdf,0.13776499,8,CelebDF
id13_0009,0,celebdf,0.3836609,8,CelebDF
id13_0010,0,celebdf,0.14928994,8,CelebDF
id13_0011,0,celebdf,0.25009987,8,CelebDF
id13_0012,0,celebdf,0.87129235,8,CelebDF
id13_0013,0,celebdf,0.6096105,7,CelebDF
id13_0014,0,celebdf,0.3547843,8,CelebDF
id13_0015,0,celebdf,0.38263988,8,CelebDF
id13_id10_0000,1,celebdf,0.48846456,8,CelebDF
id13_id10_0001,1,celebdf,0.63444614,8,CelebDF
id13_id10_0003,1,celebdf,0.8564507,8,CelebDF
id13_id10_0004,1,celebdf,0.75044906,7,CelebDF
id13_id10_0005,1,celebdf,0.78329176,8,CelebDF
id13_id10_0007,1,celebdf,0.4449268,8,CelebDF
id13_id10_0008,1,celebdf,0.5486505,8,CelebDF
id13_id10_0011,1,celebdf,0.74706507,8,CelebDF
id13_id10_0012,1,celebdf,0.8739808,8,CelebDF
id13_id10_0014,1,celebdf,0.6758593,8,CelebDF
id13_id10_0015,1,celebdf,0.74981713,8,CelebDF
id13_id7_0000,1,celebdf,0.26595587,8,CelebDF
id13_id7_0001,1,celebdf,0.29307392,8,CelebDF
id13_id7_0002,1,celebdf,0.041131664,8,CelebDF
