video,dataset,manipulation,compression,true_label,pred_prob,model,split,seed
190_176,FFpp,deepfakes,c23,1,0.993082,PRISM_50D_indist,test,42
214_255,FFpp,deepfakes,c23,1,0.98729,PRISM_50D_indist,test,42
220_219,FFpp,deepfakes,c23,1,0.998588,PRISM_50D_indist,test,42
219_220,FFpp,deepfakes,c23,1,0.998316,PRISM_50D_indist,test,42
249_280,FFpp,deepfakes,c23,1,0.997667,PRISM_50D_indist,test,42
257_420,FFpp,deepfakes,c23,1,0.999398,PRISM_50D_indist,test,42
255_214,FFpp,deepfakes,c23,1,0.999416,PRISM_50D_indist,test,42
278_306,FFpp,deepfakes,c23,1,0.934051,PRISM_50D_indist,test,42
280_249,FFpp,deepfakes,c23,1,0.458226,PRISM_50D_indist,test,42
288_321,FFpp,deepfakes,c23,1,0.972933,PRISM_50D_indist,test,42
306_278,FFpp,deepfakes,c23,1,0.999269,PRISM_50D_indist,test,42
308_388,FFpp,deepfakes,c23,1,0.997429,PRISM_50D_indist,test,42
319_352,FFpp,deepfakes,c23,1,0.964507,PRISM_50D_indist,test,42
314_347,FFpp,deepfakes,c23,1,0.999831,PRISM_50D_indist,test,42
321_288,FFpp,deepfakes,c23,1,0.996269,PRISM_50D_indist,test,42
347_314,FFpp,deepfakes,c23,1,0.999748,PRISM_50D_indist,test,42
352_319,FFpp,deepfakes,c23,1,0.999087,PRISM_50D_indist,test,42
358_380,FFpp,deepfakes,c23,1,0.173568,PRISM_50D_indist,test,42
367_371,FFpp,deepfakes,c23,1,0.998256,PRISM_50D_indist,test,42
371_367,FFpp,deepfakes,c23,1,0.996111,PRISM_50D_indist,test,42
379_158,FFpp,deepfakes,c23,1,0.998653,PRISM_50D_indist,test,42
380_358,FFpp,deepfakes,c23,1,0.049266,PRISM_50D_indist,test,42
381_376,FFpp,deepfakes,c23,1,0.751471,PRISM_50D_indist,test,42
388_308,FFpp,deepfakes,c23,1,0.98904,PRISM_50D_indist,test,42
384_932,FFpp,deepfakes,c23,1,0.999198,PRISM_50D_indist,test,42
399_488,FFpp,deepfakes,c23,1,0.999628,PRISM_50D_indist,test,42
386_154,FFpp,deepfakes,c23,1,0.963793,PRISM_50D_indist,test,42
389_480,FFpp,deepfakes,c23,1,0.61647,PRISM_50D_indist,test,42
404_429,FFpp,deepfakes,c23,1,0.974282,PRISM_50D_indist,test,42
420_257,FFpp,deepfakes,c23,1,0.983179,PRISM_50D_indist,test,42
421_423,FFpp,deepfakes,c23,1,0.999303,PRISM_50D_indist,test,42
423_421,FFpp,deepfakes,c23,1,0.996892,PRISM_50D_indist,test,42
418_507,FFpp,deepfakes,c23,1,0.996534,PRISM_50D_indist,test,42
429_404,FFpp,deepfakes,c23,1,0.994752,PRISM_50D_indist,test,42
422_695,FFpp,deepfakes,c23,1,0.999772,PRISM_50D_indist,test,42
452_550,FFpp,deepfakes,c23,1,0.995542,PRISM_50D_indist,test,42
445_494,FFpp,deepfakes,c23,1,0.997953,PRISM_50D_indist,test,42
454_527,FFpp,deepfakes,c23,1,0.428682,PRISM_50D_indist,test,42
462_467,FFpp,deepfakes,c23,1,0.973176,PRISM_50D_indist,test,42
467_462,FFpp,deepfakes,c23,1,0.999218,PRISM_50D_indist,test,42
485_425,FFpp,deepfakes,c23,1,0.99756,PRISM_50D_indist,test,42
480_389,FFpp,deepfakes,c23,1,0.01969,PRISM_50D_indist,test,42
488_399,FFpp,deepfakes,c23,1,0.963071,PRISM_50D_indist,test,42
494_445,FFpp,deepfakes,c23,1,0.99969,PRISM_50D_indist,test,42
479_706,FFpp,deepfakes,c23,1,0.999558,PRISM_50D_indist,test,42
517_521,FFpp,deepfakes,c23,1,0.768084,PRISM_50D_indist,test,42
521_517,FFpp,deepfakes,c23,1,0.151723,PRISM_50D_indist,test,42
527_454,FFpp,deepfakes,c23,1,0.913216,PRISM_50D_indist,test,42
507_418,FFpp,deepfakes,c23,1,0.999668,PRISM_50D_indist,test,42
550_452,FFpp,deepfakes,c23,1,0.993938,PRISM_50D_indist,test,42
529_633,FFpp,deepfakes,c23,1,0.997142,PRISM_50D_indist,test,42
552_851,FFpp,deepfakes,c23,1,0.968882,PRISM_50D_indist,test,42
579_701,FFpp,deepfakes,c23,1,0.987845,PRISM_50D_indist,test,42
608_675,FFpp,deepfakes,c23,1,0.999006,PRISM_50D_indist,test,42
623_630,FFpp,deepfakes,c23,1,0.968025,PRISM_50D_indist,test,42
625_650,FFpp,deepfakes,c23,1,0.964393,PRISM_50D_indist,test,42
607_683,FFpp,deepfakes,c23,1,0.956794,PRISM_50D_indist,test,42
630_623,FFpp,deepfakes,c23,1,0.997911,PRISM_50D_indist,test,42
633_529,FFpp,deepfakes,c23,1,0.999793,PRISM_50D_indist,test,42
634_660,FFpp,deepfakes,c23,1,0.996054,PRISM_50D_indist,test,42
650_625,FFpp,deepfakes,c23,1,0.999609,PRISM_50D_indist,test,42
669_682,FFpp,deepfakes,c23,1,0.993715,PRISM_50D_indist,test,42
670_661,FFpp,deepfakes,c23,1,0.989921,PRISM_50D_indist,test,42
661_670,FFpp,deepfakes,c23,1,0.999182,PRISM_50D_indist,test,42
660_634,FFpp,deepfakes,c23,1,0.990491,PRISM_50D_indist,test,42
675_608,FFpp,deepfakes,c23,1,0.790295,PRISM_50D_indist,test,42
682_669,FFpp,deepfakes,c23,1,0.994211,PRISM_50D_indist,test,42
691_732,FFpp,deepfakes,c23,1,0.998238,PRISM_50D_indist,test,42
705_707,FFpp,deepfakes,c23,1,0.955336,PRISM_50D_indist,test,42
683_607,FFpp,deepfakes,c23,1,0.998271,PRISM_50D_indist,test,42
707_705,FFpp,deepfakes,c23,1,0.987774,PRISM_50D_indist,test,42
695_422,FFpp,deepfakes,c23,1,0.999197,PRISM_50D_indist,test,42
714_842,FFpp,deepfakes,c23,1,0.999502,PRISM_50D_indist,test,42
701_579,FFpp,deepfakes,c23,1,0.195475,PRISM_50D_indist,test,42
706_479,FFpp,deepfakes,c23,1,0.99978,PRISM_50D_indist,test,42
731_741,FFpp,deepfakes,c23,1,0.999332,PRISM_50D_indist,test,42
732_691,FFpp,deepfakes,c23,1,0.784183,PRISM_50D_indist,test,42
725_724,FFpp,deepfakes,c23,1,0.99968,PRISM_50D_indist,test,42
741_731,FFpp,deepfakes,c23,1,0.98205,PRISM_50D_indist,test,42
739_865,FFpp,deepfakes,c23,1,0.99979,PRISM_50D_indist,test,42
724_725,FFpp,deepfakes,c23,1,0.999714,PRISM_50D_indist,test,42
755_759,FFpp,deepfakes,c23,1,0.712075,PRISM_50D_indist,test,42
801_855,FFpp,deepfakes,c23,1,0.958109,PRISM_50D_indist,test,42
812_821,FFpp,deepfakes,c23,1,0.937399,PRISM_50D_indist,test,42
821_812,FFpp,deepfakes,c23,1,0.998643,PRISM_50D_indist,test,42
842_714,FFpp,deepfakes,c23,1,0.997403,PRISM_50D_indist,test,42
855_801,FFpp,deepfakes,c23,1,0.975266,PRISM_50D_indist,test,42
847_906,FFpp,deepfakes,c23,1,0.999066,PRISM_50D_indist,test,42
851_552,FFpp,deepfakes,c23,1,0.992203,PRISM_50D_indist,test,42
868_949,FFpp,deepfakes,c23,1,0.998499,PRISM_50D_indist,test,42
865_739,FFpp,deepfakes,c23,1,0.997989,PRISM_50D_indist,test,42
896_128,FFpp,deepfakes,c23,1,0.420664,PRISM_50D_indist,test,42
917_924,FFpp,deepfakes,c23,1,0.14786,PRISM_50D_indist,test,42
919_015,FFpp,deepfakes,c23,1,0.94532,PRISM_50D_indist,test,42
924_917,FFpp,deepfakes,c23,1,0.240942,PRISM_50D_indist,test,42
906_847,FFpp,deepfakes,c23,1,0.998061,PRISM_50D_indist,test,42
932_384,FFpp,deepfakes,c23,1,0.948353,PRISM_50D_indist,test,42
949_868,FFpp,deepfakes,c23,1,0.831896,PRISM_50D_indist,test,42
945_044,FFpp,deepfakes,c23,1,0.999465,PRISM_50D_indist,test,42
955_078,FFpp,deepfakes,c23,1,0.99981,PRISM_50D_indist,test,42
953_974,FFpp,deepfakes,c23,1,0.974543,PRISM_50D_indist,test,42
970_973,FFpp,deepfakes,c23,1,0.389918,PRISM_50D_indist,test,42
973_970,FFpp,deepfakes,c23,1,0.980287,PRISM_50D_indist,test,42
974_953,FFpp,deepfakes,c23,1,0.998526,PRISM_50D_indist,test,42
995_233,FFpp,deepfakes,c23,1,0.073722,PRISM_50D_indist,test,42
000,FFpp,face2face,c23,0,0.157849,PRISM_50D_indist,test,42
003,FFpp,face2face,c23,0,0.017528,PRISM_50D_indist,test,42
012,FFpp,face2face,c23,0,0.059204,PRISM_50D_indist,test,42
015,FFpp,face2face,c23,0,0.298042,PRISM_50D_indist,test,42
024,FFpp,face2face,c23,0,0.364846,PRISM_50D_indist,test,42
026,FFpp,face2face,c23,0,0.28804,PRISM_50D_indist,test,42
029,FFpp,face2face,c23,0,0.910325,PRISM_50D_indist,test,42
035,FFpp,face2face,c23,0,0.602496,PRISM_50D_indist,test,42
036,FFpp,face2face,c23,0,0.334791,PRISM_50D_indist,test,42
048,FFpp,face2face,c23,0,0.065891,PRISM_50D_indist,test,42
047,FFpp,face2face,c23,0,0.145688,PRISM_50D_indist,test,42
044,FFpp,face2face,c23,0,0.061684,PRISM_50D_indist,test,42
073,FFpp,face2face,c23,0,0.630797,PRISM_50D_indist,test,42
078,FFpp,face2face,c23,0,0.254849,PRISM_50D_indist,test,42
102,FFpp,face2face,c23,0,0.199108,PRISM_50D_indist,test,42
114,FFpp,face2face,c23,0,0.146035,PRISM_50D_indist,test,42
128,FFpp,face2face,c23,0,0.736389,PRISM_50D_indist,test,42
138,FFpp,face2face,c23,0,0.052486,PRISM_50D_indist,test,42
135,FFpp,face2face,c23,0,0.884144,PRISM_50D_indist,test,42
142,FFpp,face2face,c23,0,0.226666,PRISM_50D_indist,test,42
141,FFpp,face2face,c23,0,0.828461,PRISM_50D_indist,test,42
161,FFpp,face2face,c23,0,0.462909,PRISM_50D_indist,test,42
154,FFpp,face2face,c23,0,0.444748,PRISM_50D_indist,test,42
169,FFpp,face2face,c23,0,0.292373,PRISM_50D_indist,test,42
170,FFpp,face2face,c23,0,0.001991,PRISM_50D_indist,test,42
176,FFpp,face2face,c23,0,0.012849,PRISM_50D_indist,test,42
186,FFpp,face2face,c23,0,0.106293,PRISM_50D_indist,test,42
190,FFpp,face2face,c23,0,0.031075,PRISM_50D_indist,test,42
214,FFpp,face2face,c23,0,0.220019,PRISM_50D_indist,test,42
220,FFpp,face2face,c23,0,0.923136,PRISM_50D_indist,test,42
219,FFpp,face2face,c23,0,0.631428,PRISM_50D_indist,test,42
227,FFpp,face2face,c23,0,0.050788,PRISM_50D_indist,test,42
249,FFpp,face2face,c23,0,0.060416,PRISM_50D_indist,test,42
257,FFpp,face2face,c23,0,0.389327,PRISM_50D_indist,test,42
255,FFpp,face2face,c23,0,0.041894,PRISM_50D_indist,test,42
278,FFpp,face2face,c23,0,0.080113,PRISM_50D_indist,test,42
280,FFpp,face2face,c23,0,0.912806,PRISM_50D_indist,test,42
288,FFpp,face2face,c23,0,0.308447,PRISM_50D_indist,test,42
306,FFpp,face2face,c23,0,0.160815,PRISM_50D_indist,test,42
308,FFpp,face2face,c23,0,0.946293,PRISM_50D_indist,test,42
314,FFpp,face2face,c23,0,0.144333,PRISM_50D_indist,test,42
321,FFpp,face2face,c23,0,0.615849,PRISM_50D_indist,test,42
319,FFpp,face2face,c23,0,0.776203,PRISM_50D_indist,test,42
347,FFpp,face2face,c23,0,0.388676,PRISM_50D_indist,test,42
352,FFpp,face2face,c23,0,0.142382,PRISM_50D_indist,test,42
358,FFpp,face2face,c23,0,0.413072,PRISM_50D_indist,test,42
367,FFpp,face2face,c23,0,0.398729,PRISM_50D_indist,test,42
371,FFpp,face2face,c23,0,0.52742,PRISM_50D_indist,test,42
379,FFpp,face2face,c23,0,0.328918,PRISM_50D_indist,test,42
380,FFpp,face2face,c23,0,0.608896,PRISM_50D_indist,test,42
381,FFpp,face2face,c23,0,0.114582,PRISM_50D_indist,test,42
388,FFpp,face2face,c23,0,0.173037,PRISM_50D_indist,test,42
384,FFpp,face2face,c23,0,0.12712,PRISM_50D_indist,test,42
386,FFpp,face2face,c23,0,0.319123,PRISM_50D_indist,test,42
389,FFpp,face2face,c23,0,0.009318,PRISM_50D_indist,test,42
399,FFpp,face2face,c23,0,0.024882,PRISM_50D_indist,test,42
404,FFpp,face2face,c23,0,0.483505,PRISM_50D_indist,test,42
420,FFpp,face2face,c23,0,0.333895,PRISM_50D_indist,test,42
421,FFpp,face2face,c23,0,0.465666,PRISM_50D_indist,test,42
423,FFpp,face2face,c23,0,0.081314,PRISM_50D_indist,test,42
418,FFpp,face2face,c23,0,0.02391,PRISM_50D_indist,test,42
425,FFpp,face2face,c23,0,0.22245,PRISM_50D_indist,test,42
429,FFpp,face2face,c23,0,0.484539,PRISM_50D_indist,test,42
422,FFpp,face2face,c23,0,0.731518,PRISM_50D_indist,test,42
445,FFpp,face2face,c23,0,0.321849,PRISM_50D_indist,test,42
452,FFpp,face2face,c23,0,0.23426,PRISM_50D_indist,test,42
454,FFpp,face2face,c23,0,0.468941,PRISM_50D_indist,test,42
462,FFpp,face2face,c23,0,0.12728,PRISM_50D_indist,test,42
467,FFpp,face2face,c23,0,0.068947,PRISM_50D_indist,test,42
485,FFpp,face2face,c23,0,0.085487,PRISM_50D_indist,test,42
480,FFpp,face2face,c23,0,0.651312,PRISM_50D_indist,test,42
488,FFpp,face2face,c23,0,0.262247,PRISM_50D_indist,test,42
494,FFpp,face2face,c23,0,0.173934,PRISM_50D_indist,test,42
479,FFpp,face2face,c23,0,0.088976,PRISM_50D_indist,test,42
517,FFpp,face2face,c23,0,0.396441,PRISM_50D_indist,test,42
521,FFpp,face2face,c23,0,0.059792,PRISM_50D_indist,test,42
507,FFpp,face2face,c23,0,0.008484,PRISM_50D_indist,test,42
527,FFpp,face2face,c23,0,0.965612,PRISM_50D_indist,test,42
550,FFpp,face2face,c23,0,0.933718,PRISM_50D_indist,test,42
529,FFpp,face2face,c23,0,0.275805,PRISM_50D_indist,test,42
552,FFpp,face2face,c23,0,0.784706,PRISM_50D_indist,test,42
579,FFpp,face2face,c23,0,0.161375,PRISM_50D_indist,test,42
608,FFpp,face2face,c23,0,0.322583,PRISM_50D_indist,test,42
623,FFpp,face2face,c23,0,0.352145,PRISM_50D_indist,test,42
625,FFpp,face2face,c23,0,0.146621,PRISM_50D_indist,test,42
607,FFpp,face2face,c23,0,0.296422,PRISM_50D_indist,test,42
630,FFpp,face2face,c23,0,0.042368,PRISM_50D_indist,test,42
633,FFpp,face2face,c23,0,0.579525,PRISM_50D_indist,test,42
634,FFpp,face2face,c23,0,0.202709,PRISM_50D_indist,test,42
650,FFpp,face2face,c23,0,0.191854,PRISM_50D_indist,test,42
669,FFpp,face2face,c23,0,0.813694,PRISM_50D_indist,test,42
670,FFpp,face2face,c23,0,0.384457,PRISM_50D_indist,test,42
661,FFpp,face2face,c23,0,0.081004,PRISM_50D_indist,test,42
660,FFpp,face2face,c23,0,0.624188,PRISM_50D_indist,test,42
675,FFpp,face2face,c23,0,0.324115,PRISM_50D_indist,test,42
682,FFpp,face2face,c23,0,0.340512,PRISM_50D_indist,test,42
691,FFpp,face2face,c23,0,0.028833,PRISM_50D_indist,test,42
