video,label,p,method,target,dataset
917,0,0.2640506312882603,current(POS+CHROM),deepfakes,FFpp
919,0,0.20082242316464535,current(POS+CHROM),deepfakes,FFpp
924,0,0.6465426690370086,current(POS+CHROM),deepfakes,FFpp
932,0,0.6131628038371532,current(POS+CHROM),deepfakes,FFpp
949,0,0.2428979193721383,current(POS+CHROM),deepfakes,FFpp
945,0,0.23009553640847513,current(POS+CHROM),deepfakes,FFpp
955,0,0.36530044691445923,current(POS+CHROM),deepfakes,FFpp
953,0,0.8612801924603716,current(POS+CHROM),deepfakes,FFpp
970,0,0.4303754051467176,current(POS+CHROM),deepfakes,FFpp
974,0,0.797434997190072,current(POS+CHROM),deepfakes,FFpp
973,0,0.7184698954585254,current(POS+CHROM),deepfakes,FFpp
995,0,0.8552565238565804,current(POS+CHROM),deepfakes,FFpp
000_003,1,0.48736123432381145,current(POS+CHROM),deepfakes,FFpp
003_000,1,0.7050781219786155,current(POS+CHROM),deepfakes,FFpp
012_026,1,0.5328187364648903,current(POS+CHROM),deepfakes,FFpp
015_919,1,0.4375631757558672,current(POS+CHROM),deepfakes,FFpp
024_073,1,0.19433845823828066,current(POS+CHROM),deepfakes,FFpp
026_012,1,0.8379556941874872,current(POS+CHROM),deepfakes,FFpp
029_048,1,0.6771724834208394,current(POS+CHROM),deepfakes,FFpp
035_036,1,0.584520513291072,current(POS+CHROM),deepfakes,FFpp
036_035,1,0.41003916108827404,current(POS+CHROM),deepfakes,FFpp
047_862,1,0.43497150805554835,current(POS+CHROM),deepfakes,FFpp
044_945,1,0.6070309527444504,current(POS+CHROM),deepfakes,FFpp
048_029,1,0.7280051293916283,current(POS+CHROM),deepfakes,FFpp
073_024,1,0.5820847443671834,current(POS+CHROM),deepfakes,FFpp
078_955,1,0.604981289047175,current(POS+CHROM),deepfakes,FFpp
102_114,1,0.2401944775216326,current(POS+CHROM),deepfakes,FFpp
114_102,1,0.4174477267759699,current(POS+CHROM),deepfakes,FFpp
128_896,1,0.3134192689313562,current(POS+CHROM),deepfakes,FFpp
135_880,1,0.48503969556315174,current(POS+CHROM),deepfakes,FFpp
138_142,1,0.2783698480193714,current(POS+CHROM),deepfakes,FFpp
141_161,1,0.8368057767068308,current(POS+CHROM),deepfakes,FFpp
142_138,1,0.6295179273187764,current(POS+CHROM),deepfakes,FFpp
158_379,1,0.8604426071482174,current(POS+CHROM),deepfakes,FFpp
154_386,1,0.7171586278819007,current(POS+CHROM),deepfakes,FFpp
161_141,1,0.8276563587123155,current(POS+CHROM),deepfakes,FFpp
169_227,1,0.33761834219521636,current(POS+CHROM),deepfakes,FFpp
170_186,1,0.47793830301899853,current(POS+CHROM),deepfakes,FFpp
176_190,1,0.734416169825217,current(POS+CHROM),deepfakes,FFpp
186_170,1,0.9053571727385786,current(POS+CHROM),deepfakes,FFpp
190_176,1,0.19887574440840172,current(POS+CHROM),deepfakes,FFpp
214_255,1,0.6923181990495096,current(POS+CHROM),deepfakes,FFpp
220_219,1,0.5532982499052861,current(POS+CHROM),deepfakes,FFpp
219_220,1,0.2775310690037358,current(POS+CHROM),deepfakes,FFpp
227_169,1,0.6184891237278046,current(POS+CHROM),deepfakes,FFpp
233_995,1,0.24489535467866735,current(POS+CHROM),deepfakes,FFpp
249_280,1,0.8201080796854651,current(POS+CHROM),deepfakes,FFpp
255_214,1,0.6758192116813776,current(POS+CHROM),deepfakes,FFpp
257_420,1,0.6050706715130926,current(POS+CHROM),deepfakes,FFpp
278_306,1,0.46153810707398135,current(POS+CHROM),deepfakes,FFpp
280_249,1,0.47616023295924825,current(POS+CHROM),deepfakes,FFpp
288_321,1,0.7369447446761291,current(POS+CHROM),deepfakes,FFpp
306_278,1,0.5009234416919248,current(POS+CHROM),deepfakes,FFpp
308_388,1,0.44061886103368303,current(POS+CHROM),deepfakes,FFpp
314_347,1,0.5875826907657231,current(POS+CHROM),deepfakes,FFpp
319_352,1,0.8047133938281553,current(POS+CHROM),deepfakes,FFpp
321_288,1,0.5210256390887915,current(POS+CHROM),deepfakes,FFpp
347_314,1,0.40858313495673104,current(POS+CHROM),deepfakes,FFpp
352_319,1,0.43670639320802795,current(POS+CHROM),deepfakes,FFpp
358_380,1,0.4713444070210062,current(POS+CHROM),deepfakes,FFpp
367_371,1,0.5970628403436825,current(POS+CHROM),deepfakes,FFpp
371_367,1,0.6602438471274501,current(POS+CHROM),deepfakes,FFpp
379_158,1,0.3069633161798047,current(POS+CHROM),deepfakes,FFpp
380_358,1,0.6065683392353849,current(POS+CHROM),deepfakes,FFpp
376_381,1,0.14944885928852492,current(POS+CHROM),deepfakes,FFpp
381_376,1,0.554748556347433,current(POS+CHROM),deepfakes,FFpp
388_308,1,0.7619031508695862,current(POS+CHROM),deepfakes,FFpp
384_932,1,0.8077037777329736,current(POS+CHROM),deepfakes,FFpp
386_154,1,0.5264131618261311,current(POS+CHROM),deepfakes,FFpp
389_480,1,0.26430190157812994,current(POS+CHROM),deepfakes,FFpp
399_488,1,0.5919415980901432,current(POS+CHROM),deepfakes,FFpp
404_429,1,0.6058616280626422,current(POS+CHROM),deepfakes,FFpp
418_507,1,0.6051554544238252,current(POS+CHROM),deepfakes,FFpp
420_257,1,0.1882752086960874,current(POS+CHROM),deepfakes,FFpp
421_423,1,0.45821550790670657,current(POS+CHROM),deepfakes,FFpp
423_421,1,0.6499469844354662,current(POS+CHROM),deepfakes,FFpp
425_485,1,0.7675178984618475,current(POS+CHROM),deepfakes,FFpp
422_695,1,0.6391214651773477,current(POS+CHROM),deepfakes,FFpp
429_404,1,0.5840936569435506,current(POS+CHROM),deepfakes,FFpp
452_550,1,0.6301409302685212,current(POS+CHROM),deepfakes,FFpp
445_494,1,0.7028233924080554,current(POS+CHROM),deepfakes,FFpp
454_527,1,0.3105197442200092,current(POS+CHROM),deepfakes,FFpp
462_467,1,0.4270646534192785,current(POS+CHROM),deepfakes,FFpp
467_462,1,0.532281375615808,current(POS+CHROM),deepfakes,FFpp
480_389,1,0.47944154982716575,current(POS+CHROM),deepfakes,FFpp
485_425,1,0.4672035819658789,current(POS+CHROM),deepfakes,FFpp
479_706,1,0.20067954595847617,current(POS+CHROM),deepfakes,FFpp
488_399,1,0.6417413767322817,current(POS+CHROM),deepfakes,FFpp
494_445,1,0.3236164693120486,current(POS+CHROM),deepfakes,FFpp
517_521,1,0.39596053257574565,current(POS+CHROM),deepfakes,FFpp
507_418,1,0.6857100429257766,current(POS+CHROM),deepfakes,FFpp
521_517,1,0.6916805940954643,current(POS+CHROM),deepfakes,FFpp
527_454,1,0.3719797306607319,current(POS+CHROM),deepfakes,FFpp
529_633,1,0.7584166022786297,current(POS+CHROM),deepfakes,FFpp
550_452,1,0.6534129542650176,current(POS+CHROM),deepfakes,FFpp
552_851,1,0.5453896661760927,current(POS+CHROM),deepfakes,FFpp
579_701,1,0.30810609900207836,current(POS+CHROM),deepfakes,FFpp
608_675,1,0.4423554710688424,current(POS+CHROM),deepfakes,FFpp
607_683,1,0.4085218972929324,current(POS+CHROM),deepfakes,FFpp
623_630,1,0.4722460997628576,current(POS+CHROM),deepfakes,FFpp
625_650,1,0.6957521738656548,current(POS+CHROM),deepfakes,FFpp
630_623,1,0.8065341916727238,current(POS+CHROM),deepfakes,FFpp
634_660,1,0.7550943102303805,current(POS+CHROM),deepfakes,FFpp
633_529,1,0.6433350853530745,current(POS+CHROM),deepfakes,FFpp
650_625,1,0.17989772344576427,current(POS+CHROM),deepfakes,FFpp
669_682,1,0.6686304525148163,current(POS+CHROM),deepfakes,FFpp
661_670,1,0.8991341019949548,current(POS+CHROM),deepfakes,FFpp
660_634,1,0.6650354911235774,current(POS+CHROM),deepfakes,FFpp
670_661,1,0.5408718091883512,current(POS+CHROM),deepfakes,FFpp
675_608,1,0.9648690949030424,current(POS+CHROM),deepfakes,FFpp
682_669,1,0.7923147219235604,current(POS+CHROM),deepfakes,FFpp
683_607,1,0.7919692143533383,current(POS+CHROM),deepfakes,FFpp
691_732,1,0.6278819304730133,current(POS+CHROM),deepfakes,FFpp
705_707,1,0.54147785432349,current(POS+CHROM),deepfakes,FFpp
695_422,1,0.5132197885131967,current(POS+CHROM),deepfakes,FFpp
707_705,1,0.33562314658876463,current(POS+CHROM),deepfakes,FFpp
701_579,1,0.8927546917268567,current(POS+CHROM),deepfakes,FFpp
706_479,1,0.6290183152141003,current(POS+CHROM),deepfakes,FFpp
714_842,1,0.6104506547952043,current(POS+CHROM),deepfakes,FFpp
732_691,1,0.2679131423311648,current(POS+CHROM),deepfakes,FFpp
725_724,1,0.6252013042560686,current(POS+CHROM),deepfakes,FFpp
731_741,1,0.781995615422307,current(POS+CHROM),deepfakes,FFpp
724_725,1,0.635967205783395,current(POS+CHROM),deepfakes,FFpp
741_731,1,0.26340221491505034,current(POS+CHROM),deepfakes,FFpp
739_865,1,0.9633391852851961,current(POS+CHROM),deepfakes,FFpp
755_759,1,0.6945675027255098,current(POS+CHROM),deepfakes,FFpp
801_855,1,0.6136779299861702,current(POS+CHROM),deepfakes,FFpp
812_821,1,0.5638202690611303,current(POS+CHROM),deepfakes,FFpp
821_812,1,0.5530091720185419,current(POS+CHROM),deepfakes,FFpp
842_714,1,0.4716514799216657,current(POS+CHROM),deepfakes,FFpp
847_906,1,0.5898762448711256,current(POS+CHROM),deepfakes,FFpp
855_801,1,0.6507023882377702,current(POS+CHROM),deepfakes,FFpp
851_552,1,0.6172579634342603,current(POS+CHROM),deepfakes,FFpp
868_949,1,0.37811774210350657,current(POS+CHROM),deepfakes,FFpp
865_739,1,0.7679445295019923,current(POS+CHROM),deepfakes,FFpp
896_128,1,0.7502446121386455,current(POS+CHROM),deepfakes,FFpp
906_847,1,0.5423778165548221,current(POS+CHROM),deepfakes,FFpp
917_924,1,0.39318196152405566,current(POS+CHROM),deepfakes,FFpp
919_015,1,0.3178866246900868,current(POS+CHROM),deepfakes,FFpp
924_917,1,0.2960301775948115,current(POS+CHROM),deepfakes,FFpp
932_384,1,0.26188181396061855,current(POS+CHROM),deepfakes,FFpp
949_868,1,0.3929691651540064,current(POS+CHROM),deepfakes,FFpp
945_044,1,0.3012803719700185,current(POS+CHROM),deepfakes,FFpp
953_974,1,0.33017682945651944,current(POS+CHROM),deepfakes,FFpp
955_078,1,0.4582625893885606,current(POS+CHROM),deepfakes,FFpp
970_973,1,0.8105952867580827,current(POS+CHROM),deepfakes,FFpp
974_953,1,0.6956506539665805,current(POS+CHROM),deepfakes,FFpp
973_970,1,0.41767698461031694,current(POS+CHROM),deepfakes,FFpp
995_233,1,0.643801242876881,current(POS+CHROM),deepfakes,FFpp
000,0,0.4542066390335502,POS,deepfakes,FFpp
003,0,0.45157738719260115,POS,deepfakes,FFpp
012,0,0.3065276276241348,POS,deepfakes,FFpp
015,0,0.7290858470357614,POS,deepfakes,FFpp
024,0,0.35032106893925186,POS,deepfakes,FFpp
026,0,0.6945225893349292,POS,deepfakes,FFpp
029,0,0.4438498641874014,POS,deepfakes,FFpp
035,0,0.8445874578880368,POS,deepfakes,FFpp
036,0,0.8123034054477972,POS,deepfakes,FFpp
048,0,0.7168444946765542,POS,deepfakes,FFpp
044,0,0.4762037099216908,POS,deepfakes,FFpp
047,0,0.40073557621366257,POS,deepfakes,FFpp
073,0,0.4290190146709458,POS,deepfakes,FFpp
078,0,0.5144774410960004,POS,deepfakes,FFpp
102,0,0.2602680171375698,POS,deepfakes,FFpp
114,0,0.44654536071030915,POS,deepfakes,FFpp
128,0,0.4138785142156303,POS,deepfakes,FFpp
138,0,0.7072196928431491,POS,deepfakes,FFpp
135,0,0.37917010295144565,POS,deepfakes,FFpp
141,0,0.5704339455154063,POS,deepfakes,FFpp
142,0,0.33665537824165254,POS,deepfakes,FFpp
158,0,0.5208556864810746,POS,deepfakes,FFpp
161,0,0.43483138543477917,POS,deepfakes,FFpp
154,0,0.4721153270178674,POS,deepfakes,FFpp
169,0,0.393920523087339,POS,deepfakes,FFpp
170,0,0.5613115444651553,POS,deepfakes,FFpp
176,0,0.36723569138551954,POS,deepfakes,FFpp
186,0,0.2764358563961561,POS,deepfakes,FFpp
190,0,0.3123550493068943,POS,deepfakes,FFpp
214,0,0.13295161444468667,POS,deepfakes,FFpp
220,0,0.3713386466422964,POS,deepfakes,FFpp
219,0,0.318652175148289,POS,deepfakes,FFpp
227,0,0.6291354030647859,POS,deepfakes,FFpp
233,0,0.3877038704740617,POS,deepfakes,FFpp
249,0,0.1897560649188854,POS,deepfakes,FFpp
255,0,0.6323180017632607,POS,deepfakes,FFpp
257,0,0.33987296186936083,POS,deepfakes,FFpp
278,0,0.31967503545726605,POS,deepfakes,FFpp
280,0,0.6281364469082923,POS,deepfakes,FFpp
288,0,0.41812785585579054,POS,deepfakes,FFpp
306,0,0.53170639735026,POS,deepfakes,FFpp
308,0,0.49661318085960693,POS,deepfakes,FFpp
314,0,0.5566922039482125,POS,deepfakes,FFpp
319,0,0.3619301217895311,POS,deepfakes,FFpp
321,0,0.5506493630369829,POS,deepfakes,FFpp
347,0,0.3974818902292465,POS,deepfakes,FFpp
352,0,0.4351839196501682,POS,deepfakes,FFpp
358,0,0.62276607455819,POS,deepfakes,FFpp
367,0,0.60731826376339,POS,deepfakes,FFpp
371,0,0.42659550352040926,POS,deepfakes,FFpp
379,0,0.26900499340602846,POS,deepfakes,FFpp
380,0,0.3085882517217021,POS,deepfakes,FFpp
376,0,0.6067194377361578,POS,deepfakes,FFpp
381,0,0.6999333182485576,POS,deepfakes,FFpp
388,0,0.8258644132703166,POS,deepfakes,FFpp
386,0,0.5381116603936668,POS,deepfakes,FFpp
384,0,0.43813162030876135,POS,deepfakes,FFpp
389,0,0.6439363565537922,POS,deepfakes,FFpp
399,0,0.5859249921766952,POS,deepfakes,FFpp
404,0,0.4029523026176626,POS,deepfakes,FFpp
421,0,0.11270520007755777,POS,deepfakes,FFpp
420,0,0.47261891981126425,POS,deepfakes,FFpp
418,0,0.4768350519440863,POS,deepfakes,FFpp
425,0,0.302824906664979,POS,deepfakes,FFpp
423,0,0.7891673622838672,POS,deepfakes,FFpp
429,0,0.6801153931310724,POS,deepfakes,FFpp
422,0,0.23033014876548258,POS,deepfakes,FFpp
452,0,0.2872747324805517,POS,deepfakes,FFpp
445,0,0.5271428887059699,POS,deepfakes,FFpp
454,0,0.5772049672682921,POS,deepfakes,FFpp
462,0,0.8075582284208213,POS,deepfakes,FFpp
467,0,0.41474595368144274,POS,deepfakes,FFpp
480,0,0.6850350650125469,POS,deepfakes,FFpp
485,0,0.41685673232416903,POS,deepfakes,FFpp
488,0,0.5399025153614112,POS,deepfakes,FFpp
479,0,0.3260265022379491,POS,deepfakes,FFpp
494,0,0.2160274800211459,POS,deepfakes,FFpp
517,0,0.47789746924382526,POS,deepfakes,FFpp
507,0,0.6667667233595169,POS,deepfakes,FFpp
521,0,0.625175925797584,POS,deepfakes,FFpp
527,0,0.4179896156186677,POS,deepfakes,FFpp
529,0,0.453841121775786,POS,deepfakes,FFpp
550,0,0.5091763872242782,POS,deepfakes,FFpp
552,0,0.41970497543512847,POS,deepfakes,FFpp
579,0,0.4393312482134277,POS,deepfakes,FFpp
608,0,0.5474221971381611,POS,deepfakes,FFpp
607,0,0.6820961243830265,POS,deepfakes,FFpp
623,0,0.6668499743916708,POS,deepfakes,FFpp
625,0,0.48827042191232356,POS,deepfakes,FFpp
630,0,0.7448290353888858,POS,deepfakes,FFpp
633,0,0.5194598010341276,POS,deepfakes,FFpp
634,0,0.4653237389697787,POS,deepfakes,FFpp
650,0,0.40208622766871405,POS,deepfakes,FFpp
661,0,0.7477043280879503,POS,deepfakes,FFpp
669,0,0.522464544100347,POS,deepfakes,FFpp
660,0,0.272078293226616,POS,deepfakes,FFpp
670,0,0.4140569259964082,POS,deepfakes,FFpp
675,0,0.8913674034165878,POS,deepfakes,FFpp
682,0,0.8262982695669608,POS,deepfakes,FFpp
683,0,0.6755318559589011,POS,deepfakes,FFpp
691,0,0.4586295667511595,POS,deepfakes,FFpp
695,0,0.17472350856849084,POS,deepfakes,FFpp
705,0,0.2805285858129752,POS,deepfakes,FFpp
707,0,0.5896057444156435,POS,deepfakes,FFpp
701,0,0.33441168651388203,POS,deepfakes,FFpp
706,0,0.5791647401040627,POS,deepfakes,FFpp
714,0,0.6558452747158079,POS,deepfakes,FFpp
725,0,0.16749834299262237,POS,deepfakes,FFpp
731,0,0.5384532995781915,POS,deepfakes,FFpp
732,0,0.6890042450817055,POS,deepfakes,FFpp
724,0,0.5658286135080213,POS,deepfakes,FFpp
741,0,0.5781250549272609,POS,deepfakes,FFpp
739,0,0.2059507656662169,POS,deepfakes,FFpp
755,0,0.4577475289404619,POS,deepfakes,FFpp
801,0,0.3457189858117258,POS,deepfakes,FFpp
812,0,0.424949370639778,POS,deepfakes,FFpp
821,0,0.49861077061318465,POS,deepfakes,FFpp
842,0,0.25680066711092253,POS,deepfakes,FFpp
847,0,0.3771470832878841,POS,deepfakes,FFpp
855,0,0.4302309463984022,POS,deepfakes,FFpp
851,0,0.3969343453397291,POS,deepfakes,FFpp
868,0,0.4139514679359591,POS,deepfakes,FFpp
865,0,0.36549020227415724,POS,deepfakes,FFpp
896,0,0.4580934015551521,POS,deepfakes,FFpp
906,0,0.7217128141485258,POS,deepfakes,FFpp
917,0,0.39924451263505867,POS,deepfakes,FFpp
919,0,0.6108023920904293,POS,deepfakes,FFpp
924,0,0.7669300985589427,POS,deepfakes,FFpp
932,0,0.7158703477580741,POS,deepfakes,FFpp
949,0,0.22476437608428146,POS,deepfakes,FFpp
945,0,0.21952545423034378,POS,deepfakes,FFpp
955,0,0.47283989238491775,POS,deepfakes,FFpp
953,0,0.6328648770991625,POS,deepfakes,FFpp
970,0,0.28970872221632876,POS,deepfakes,FFpp
974,0,0.8011488585281374,POS,deepfakes,FFpp
973,0,0.5334541445632855,POS,deepfakes,FFpp
995,0,0.6783869627490987,POS,deepfakes,FFpp
000_003,1,0.39814180224025686,POS,deepfakes,FFpp
003_000,1,0.47509500246100544,POS,deepfakes,FFpp
012_026,1,0.6317764375877538,POS,deepfakes,FFpp
015_919,1,0.6172116565044455,POS,deepfakes,FFpp
024_073,1,0.4558611213590918,POS,deepfakes,FFpp
026_012,1,0.5406840299690066,POS,deepfakes,FFpp
029_048,1,0.6004937828223481,POS,deepfakes,FFpp
035_036,1,0.3306777910500026,POS,deepfakes,FFpp
036_035,1,0.6168385518567231,POS,deepfakes,FFpp
047_862,1,0.7090420047296121,POS,deepfakes,FFpp
044_945,1,0.5254409454065329,POS,deepfakes,FFpp
048_029,1,0.6303471974105347,POS,deepfakes,FFpp
073_024,1,0.4657980115664182,POS,deepfakes,FFpp
078_955,1,0.32778887823277997,POS,deepfakes,FFpp
102_114,1,0.2822199256026909,POS,deepfakes,FFpp
114_102,1,0.6252410704078846,POS,deepfakes,FFpp
128_896,1,0.3494323735864621,POS,deepfakes,FFpp
135_880,1,0.6109288848118731,POS,deepfakes,FFpp
138_142,1,0.4625379262353727,POS,deepfakes,FFpp
141_161,1,0.4190886216941434,POS,deepfakes,FFpp
142_138,1,0.3356378043191389,POS,deepfakes,FFpp
158_379,1,0.6976905724546643,POS,deepfakes,FFpp
154_386,1,0.37071522354178743,POS,deepfakes,FFpp
161_141,1,0.6990972771518413,POS,deepfakes,FFpp
