table,cell,old_value,new_value,abs_delta,signed_delta,changed,reason
Table 5,CHROM / overall,0.4663,0.5021,0.0358,0.0358,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 5,CHROM / c23,0.4842,0.5363,0.0521,0.0521,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 5,CHROM / c40,0.4481,0.466,0.0179,0.0179,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 5,CHROM / low_motion,0.4165,0.4644,0.0479,0.0479,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 5,CHROM / high_motion,0.5129,0.532,0.0191,0.0191,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 5,CHROM / low_illum,0.4622,0.4881,0.0259,0.0259,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 5,CHROM / high_illum,0.4697,0.5134,0.0437,0.0437,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 5,CHROM / short_seq,0.4929,0.5683,0.0754,0.0754,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 5,CHROM / long_seq,0.4528,0.4708,0.018,0.018,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,deepfakes / c23_auc,0.9752,0.9706,0.0046,-0.0046,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,deepfakes / c40_auc,0.9437,0.9398,0.0039,-0.0039,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,deepfakes / delta_auc,-0.0315,-0.0308,0.0007,0.0007,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,deepfakes / c23_mcc,0.7903,0.7988,0.0085,0.0085,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,deepfakes / c40_mcc,0.6973,0.6667,0.0306,-0.0306,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,deepfakes / cross_c23train_c40test_auc,0.9242,0.9262,0.002,0.002,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,deepfakes / c23_ci_lo,0.9603,0.9539,0.0064,-0.0064,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,deepfakes / c23_ci_hi,0.9872,0.9845,0.0027,-0.0027,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,deepfakes / c40_ci_lo,0.9154,0.9114,0.004,-0.004,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,deepfakes / c40_ci_hi,0.9667,0.9636,0.0031,-0.0031,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,face2face / c23_auc,0.8255,0.8096,0.0159,-0.0159,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,face2face / c40_auc,0.7574,0.7675,0.0101,0.0101,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,face2face / delta_auc,-0.0681,-0.0421,0.026,0.026,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,face2face / c23_mcc,0.5299,0.5075,0.0224,-0.0224,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,face2face / c40_mcc,0.342,0.394,0.052,0.052,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,face2face / cross_c23train_c40test_auc,0.6727,0.6678,0.0049,-0.0049,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,face2face / c23_ci_lo,0.7747,0.7576,0.0171,-0.0171,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,face2face / c23_ci_hi,0.8727,0.858,0.0147,-0.0147,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,face2face / c40_ci_lo,0.6986,0.7084,0.0098,0.0098,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,face2face / c40_ci_hi,0.8114,0.8206,0.0092,0.0092,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,faceswap / c23_auc,0.9689,0.9631,0.0058,-0.0058,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,faceswap / c40_auc,0.8507,0.8588,0.0081,0.0081,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,faceswap / delta_auc,-0.1182,-0.1043,0.0139,0.0139,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,faceswap / c23_mcc,0.8248,0.7892,0.0356,-0.0356,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,faceswap / c40_mcc,0.5275,0.5441,0.0166,0.0166,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,faceswap / cross_c23train_c40test_auc,0.6943,0.7056,0.0113,0.0113,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,faceswap / c23_ci_lo,0.9497,0.9416,0.0081,-0.0081,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,faceswap / c23_ci_hi,0.9839,0.9799,0.004,-0.004,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,faceswap / c40_ci_lo,0.8033,0.812,0.0087,0.0087,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,faceswap / c40_ci_hi,0.8941,0.9018,0.0077,0.0077,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,neuraltextures / c23_auc,0.8039,0.7867,0.0172,-0.0172,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,neuraltextures / c40_auc,0.7343,0.7386,0.0043,0.0043,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,neuraltextures / delta_auc,-0.0696,-0.0481,0.0215,0.0215,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,neuraltextures / c23_mcc,0.5026,0.3982,0.1044,-0.1044,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,neuraltextures / c40_mcc,0.4009,0.3485,0.0524,-0.0524,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,neuraltextures / cross_c23train_c40test_auc,0.691,0.6944,0.0034,0.0034,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,neuraltextures / c23_ci_lo,0.7489,0.7306,0.0183,-0.0183,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,neuraltextures / c23_ci_hi,0.854,0.8372,0.0168,-0.0168,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,neuraltextures / c40_ci_lo,0.6763,0.6792,0.0029,0.0029,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Tables 16/17,neuraltextures / c40_ci_hi,0.7935,0.795,0.0015,0.0015,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[0]/auc_diff,0.2,0.129,0.071,-0.071,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[0]/auc_full,0.9752,0.9706,0.0046,-0.0046,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[0]/auc_sub,0.7752,0.8416,0.0664,0.0664,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[0]/ci95[0],0.1521,0.0857,0.0664,-0.0664,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[0]/ci95[1],0.2536,0.176,0.0776,-0.0776,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[0]/p_holm,0.0,0.0,0.0,0.0,no,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[0]/p_value,0.0,0.0,0.0,0.0,no,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[0]/z,7.626,5.65,1.976,-1.976,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[10]/auc_diff,0.1184,0.104,0.0144,-0.0144,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[10]/auc_full,0.9691,0.9628,0.0063,-0.0063,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[10]/auc_sub,0.8507,0.8588,0.0081,0.0081,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[10]/ci95[0],0.0791,0.0651,0.014,-0.014,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[10]/ci95[1],0.1608,0.1465,0.0143,-0.0143,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[10]/p_holm,0.0,0.0,0.0,0.0,no,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[10]/p_value,0.0,0.0,0.0,0.0,no,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[10]/z,5.567,4.977,0.59,-0.59,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[11]/auc_diff,0.0692,0.048,0.0212,-0.0212,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[11]/auc_full,0.8035,0.7866,0.0169,-0.0169,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[11]/auc_sub,0.7343,0.7386,0.0043,0.0043,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[11]/ci95[0],0.0242,0.0026,0.0216,-0.0216,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[11]/ci95[1],0.1152,0.0964,0.0188,-0.0188,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[11]/p_holm,0.014,0.2645,0.2505,0.2505,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[11]/p_value,0.0028,0.0441,0.0413,0.0413,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[11]/z,2.99,2.013,0.977,-0.977,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[1]/auc_diff,0.014,0.0121,0.0019,-0.0019,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[1]/auc_full,0.9752,0.9706,0.0046,-0.0046,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[1]/auc_sub,0.9612,0.9585,0.0027,-0.0027,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[1]/ci95[0],0.0021,-0.0002,0.0023,-0.0023,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[1]/ci95[1],0.0284,0.0263,0.0021,-0.0021,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[1]/p_holm,0.0626,0.3773,0.3147,0.3147,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[1]/p_value,0.0361,0.0755,0.0393,0.0393,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[1]/z,2.095,1.778,0.317,-0.317,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[2]/auc_diff,0.1829,0.1396,0.0433,-0.0433,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[2]/auc_full,0.8255,0.8096,0.0159,-0.0159,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[2]/auc_sub,0.6426,0.67,0.0274,0.0274,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[2]/ci95[0],0.1145,0.0729,0.0416,-0.0416,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[2]/ci95[1],0.2495,0.2075,0.042,-0.042,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[2]/p_holm,0.0,0.0003,0.0003,0.0003,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[2]/p_value,0.0,0.0,0.0,0.0,no,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[2]/z,5.306,4.094,1.212,-1.212,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[3]/auc_diff,0.0662,0.0252,0.041,-0.041,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[3]/auc_full,0.8255,0.8096,0.0159,-0.0159,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[3]/auc_sub,0.7594,0.7844,0.025,0.025,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[3]/ci95[0],0.0254,-0.0127,0.0381,-0.0381,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[3]/ci95[1],0.1085,0.062,0.0465,-0.0465,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[3]/p_holm,0.0114,0.523,0.5116,0.5116,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[3]/p_value,0.0019,0.1743,0.1724,0.1724,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[3]/z,3.105,1.358,1.747,-1.747,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
